origin_country,destination_country,total_migrants
Germany,Spain,159760.0
Germany,Sweden,48250.0
Germany,Switzerland,343980.7656402588
Germany,Turkey,289429.0
Germany,United States,1099334.0
Ghana,Australia,5903.0
Ghana,Bulgaria,28.0
Ghana,Canada,27770.0
Ghana,Colombia,22.0
Ghana,Czech Republic,462.0
Ghana,Denmark,2164.0
Ghana,Estonia,87.0
Ghana,France,7217.228993634086
Ghana,Greece,824.0
Ghana,Hungary,357.0
Ghana,Italy,46604.0
Ghana,LUX,89.0
Ghana,Latvia,13.0
Ghana,New Zealand,321.0
Ghana,Norway,2027.0
Ghana,Poland,162.0
Ghana,Portugal,137.0
Ghana,Slovakia,26.0
Ghana,Slovenia,29.0
Ghana,Spain,18948.0
Ghana,Sweden,3340.0
Ghana,Switzerland,2706.328978538513
